[DEBUG] 2021-02-21 20:45:26.551 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2021-02-21 20:45:26.576 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2021-02-21 20:45:26.584 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2021-02-21 20:45:26.693 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2021-02-21 20:45:26.693 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2021-02-21 20:45:26.896 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [null] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2021-02-21 20:45:26.896 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2021-02-21 20:45:26.912 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2021-02-21 20:45:27.240 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2021-02-21 20:45:27.256 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2021-02-21 20:45:27.256 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2021-02-21 20:45:27.287 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2021-02-21 20:45:27.318 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@17d32e9b
[DEBUG] 2021-02-21 20:45:27.318 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@17d32e9b
[DEBUG] 2021-02-21 20:45:27.318 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@17d32e9b
[DEBUG] 2021-02-21 20:45:27.318 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@10afe71a
[DEBUG] 2021-02-21 20:45:27.318 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@65d57e4e
[DEBUG] 2021-02-21 20:45:27.318 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@9fc9f91
[DEBUG] 2021-02-21 20:45:27.318 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@2f00f851
[DEBUG] 2021-02-21 20:45:27.318 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@2f00f851
[DEBUG] 2021-02-21 20:45:27.318 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@2f00f851
