[DEBUG] 2021-05-10 18:00:51.605 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2021-05-10 18:00:51.668 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2021-05-10 18:00:51.715 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[DEBUG] 2021-05-10 18:00:51.980 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.search.mapper.orm.bootstrap.impl.HibernateSearchIntegrator].
[INFO ] 2021-05-10 18:00:52.652 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2021-05-10 18:00:52.684 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2021-05-10 18:00:54.418 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [null] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2021-05-10 18:00:54.418 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2021-05-10 18:00:54.449 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2021-05-10 18:01:18.766 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2021-05-10 18:01:18.766 [main] ServiceBinding - Overriding existing service binding [org.hibernate.search.mapper.orm.mapping.impl.HibernateSearchContextProviderService]
[DEBUG] 2021-05-10 18:01:19.032 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2021-05-10 18:01:19.047 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2021-05-10 18:01:19.282 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
[DEBUG] 2021-05-10 18:01:20.360 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@3b46dd8
[DEBUG] 2021-05-10 18:01:20.360 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@3b46dd8
[DEBUG] 2021-05-10 18:01:20.360 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@3b46dd8
[DEBUG] 2021-05-10 18:01:20.360 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@33364212
[DEBUG] 2021-05-10 18:01:20.375 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@7fd69dd
[DEBUG] 2021-05-10 18:01:20.375 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@3971f0fe
[DEBUG] 2021-05-10 18:01:20.391 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@e1e2e5e
[DEBUG] 2021-05-10 18:01:20.391 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@e1e2e5e
[DEBUG] 2021-05-10 18:01:20.391 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@e1e2e5e
[DEBUG] 2021-05-10 18:01:20.407 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@3b95d13c
[DEBUG] 2021-05-10 18:01:20.407 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@3b95d13c
[DEBUG] 2021-05-10 18:01:20.407 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@3b95d13c
[DEBUG] 2021-05-10 18:01:20.407 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@573284a5
[DEBUG] 2021-05-10 18:01:20.407 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@573284a5
[DEBUG] 2021-05-10 18:01:20.407 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@573284a5
[DEBUG] 2021-05-10 18:01:20.422 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@64a9d48c
[DEBUG] 2021-05-10 18:01:20.422 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@64a9d48c
[DEBUG] 2021-05-10 18:01:20.422 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@64a9d48c
[DEBUG] 2021-05-10 18:01:20.438 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@1cb7936c
[DEBUG] 2021-05-10 18:01:20.438 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@1cb7936c
[DEBUG] 2021-05-10 18:01:20.438 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@1cb7936c
[DEBUG] 2021-05-10 18:01:20.438 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@77a2aa4a
[DEBUG] 2021-05-10 18:01:20.438 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@77a2aa4a
[DEBUG] 2021-05-10 18:01:20.438 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@77a2aa4a
[DEBUG] 2021-05-10 18:01:20.454 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@6d5037a9
[DEBUG] 2021-05-10 18:01:20.454 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@6d5037a9
[DEBUG] 2021-05-10 18:01:20.454 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@6d5037a9
[DEBUG] 2021-05-10 18:01:20.454 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@3bbf9027
[DEBUG] 2021-05-10 18:01:20.454 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@3bbf9027
[DEBUG] 2021-05-10 18:01:20.469 [main] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@108d55c4
