[DEBUG] 2021-03-23 12:13:38.356 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2021-03-23 12:13:38.372 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2021-03-23 12:13:38.372 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2021-03-23 12:13:38.513 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2021-03-23 12:13:38.513 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2021-03-23 12:13:38.794 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [null] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2021-03-23 12:13:38.794 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2021-03-23 12:13:38.794 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2021-03-23 12:13:39.216 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2021-03-23 12:13:39.247 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2021-03-23 12:13:39.247 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2021-03-23 12:13:39.278 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2021-03-23 12:13:39.356 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@53e800f9
[DEBUG] 2021-03-23 12:13:39.356 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@53e800f9
[DEBUG] 2021-03-23 12:13:39.356 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@53e800f9
[DEBUG] 2021-03-23 12:13:39.372 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@5e5af8e1
[DEBUG] 2021-03-23 12:13:39.372 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@5b5e7036
[DEBUG] 2021-03-23 12:13:39.372 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@467b684d
[DEBUG] 2021-03-23 12:13:39.372 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@6c3659be
[DEBUG] 2021-03-23 12:13:39.372 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@6c3659be
[DEBUG] 2021-03-23 12:13:39.372 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@6c3659be
[DEBUG] 2021-03-23 12:13:39.372 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@799ed4e8
[DEBUG] 2021-03-23 12:13:39.372 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@799ed4e8
